
101A English              Period 4
  Andrew Stoll  (49)
  Camila West  (120)
  Carter Wixx  (90)
  Christian Wilson  (44)
  Eloise Barlowe  (125)
  Hannah Laurier  (86)
  Hudson Bardot  (10)
  Ian Poverly  (75)
  Isaac Whitlock  (27)
  Joseph Stoll  (39)
  Julian Adair  (100)
  Leah Gray  (102)
  Lincoln Oatrun  (57)
  Natalie Collymore  (37)
  Noah Marley  (67)
  Nova Gonzales  (58)
  Theo Hendrix  (94)
  Victoria Mintz  (121)
  Weston Adler  (80)
  Weston Madden  (84)
Student Count 20

101B English              Period 7
  Aubrey Hart  (73)
  Ava Fellowes  (65)
  Brooklyn Adler  (29)
  Charlotte Strongblossom  (20)
  Everett Levine  (83)
  Everleigh James  (60)
  Ivy Ashbluff  (21)
  Jacob Cassidy  (36)
  Joseph Hansley  (51)
  Josiah Yarrow  (124)
  Logan Marley  (8)
  Lydia Undergrove  (95)
  Madelyn Zimmerman  (72)
  Mia Humblecut  (22)
  Nolan Finch  (119)
  Olivia Adler  (99)
  Waylon Remington  (50)
Student Count 17

101C English              Period 2
  Aaron Sharpe  (2)
  Adrian Lennon  (7)
  Autumn Stoll  (11)
  Autumn Yearwood  (59)
  Axel Adler  (78)
  David Lennon  (123)
  Ian Thatcher  (41)
  Isaac Woodgrip  (32)
  John Verlice  (106)
  Kinsley Cassidy  (97)
  Lincoln Lopez  (53)
  Mason Laurier  (82)
  Nora Dagon  (26)
  Serenity Ashley  (87)
  Wyatt Monroe  (31)
Student Count 15

101D English              Period 1
  Alice Gasper  (46)
  Anthony Adams  (114)
  Ayla Ledger  (25)
  Benjamin Curran  (12)
  Cameron Elsher  (5)
  David Finch  (16)
  Hannah Crawford  (74)
  Ivy Beam  (30)
  Jacob Finch  (28)
  James Lopez  (34)
  Josiah Biddercombe  (14)
  Layla Yearwood  (88)
  Madison Gatlin  (38)
  Maria Carter  (54)
  Raelynn Vespertine  (56)
  Santiago Thatcher  (6)
  Savannah Caskcut  (112)
  Sophie Amos  (62)
  Theodore Lightfoot  (118)
  Xavier Dagon  (17)
Student Count 20

101E English              Period 5
  Caleb Mintz  (24)
  Christopher James  (85)
  Cora Whitlock  (113)
  Gianna Amos  (1)
  Hannah Marley  (45)
  Harper Kicklighter  (104)
  Jaxon Hope  (96)
  Jordan Yearwood  (89)
  Kennedy Cassidy  (93)
  Leilani Lennon  (117)
  Luna Gasper  (61)
  Michael McKenna  (35)
  Miles Barlowe  (76)
  Olivia Bardot  (108)
  Quinn Hayes  (122)
  Sophia Truthbelly  (42)
  Theodore Gasper  (68)
  Walker Lightfoot  (115)
  Walker Wixx  (15)
  Waylon Driscoll  (52)
Student Count 20

101F English              Period 3
  Adrian Sharpe  (9)
  Aiden Caskcut  (103)
  Asher Marblemaw  (40)
  Ayla James  (18)
  Bennett Lennon  (105)
  Ella Lennon  (69)
  Ezra Wilson  (64)
  Gabriel Ford  (71)
  Leonardo Ashbluff  (111)
  Luna Finch  (23)
  Maria Caddel  (19)
  Miles Moses  (109)
  Oliver Gasper  (43)
  Scarlett Dawson  (63)
  Sophie Humblecut  (79)
  Walker Langley  (33)
Student Count 16

101G English              Period 6
  Adam Huxley  (116)
  Adam Marley  (4)
  Alexander Verlice  (92)
  Andrew West  (98)
  Benjamin Madden  (77)
  Ezekiel Fellowes  (48)
  Genesis Humblecut  (47)
  Jack Raven  (55)
  Jordan Keller  (107)
  Joseph Gray  (3)
  Joshua Wixx  (101)
  Josiah Raven  (70)
  Julian Gasper  (110)
  Micah Madison  (66)
  Natalie West  (91)
  Raelynn McKenna  (81)
  Silas Cyprus  (13)
Student Count 17

102A Algebra 1            Period 4
  Aaron Sharpe  (2)
  Andrew West  (98)
  Asher Marblemaw  (40)
  Cameron Elsher  (5)
  Everleigh James  (60)
  Jordan Keller  (107)
  Leilani Lennon  (117)
  Lydia Undergrove  (95)
  Madelyn Zimmerman  (72)
  Madison Gatlin  (38)
  Mason Laurier  (82)
  Miles Moses  (109)
  Nolan Finch  (119)
  Raelynn McKenna  (81)
  Savannah Caskcut  (112)
  Waylon Driscoll  (52)
  Wyatt Monroe  (31)
Student Count 17

102B Algebra 1            Period 5
  Adam Marley  (4)
  Adrian Lennon  (7)
  Andrew Stoll  (49)
  Anthony Adams  (114)
  Benjamin Madden  (77)
  Bennett Lennon  (105)
  David Finch  (16)
  David Lennon  (123)
  Eloise Barlowe  (125)
  Everett Levine  (83)
  Hannah Crawford  (74)
  Ian Thatcher  (41)
  Ivy Beam  (30)
  Josiah Biddercombe  (14)
  Kinsley Cassidy  (97)
  Lincoln Lopez  (53)
  Noah Marley  (67)
  Olivia Adler  (99)
  Santiago Thatcher  (6)
Student Count 19

102C Algebra 1            Period 2
  Aubrey Hart  (73)
  Ava Fellowes  (65)
  Benjamin Curran  (12)
  Camila West  (120)
  Christian Wilson  (44)
  Christopher James  (85)
  Ivy Ashbluff  (21)
  Jacob Finch  (28)
  James Lopez  (34)
  Jordan Yearwood  (89)
  Joseph Gray  (3)
  Joseph Hansley  (51)
  Layla Yearwood  (88)
  Logan Marley  (8)
  Maria Carter  (54)
  Natalie West  (91)
  Oliver Gasper  (43)
  Olivia Bardot  (108)
  Sophie Humblecut  (79)
  Walker Wixx  (15)
Student Count 20

102D Algebra 1            Period 7
  Adam Huxley  (116)
  Aiden Caskcut  (103)
  Ayla Ledger  (25)
  Caleb Mintz  (24)
  Ezekiel Fellowes  (48)
  Ezra Wilson  (64)
  Genesis Humblecut  (47)
  Gianna Amos  (1)
  Hannah Marley  (45)
  Ian Poverly  (75)
  Isaac Woodgrip  (32)
  Lincoln Oatrun  (57)
  Luna Finch  (23)
  Maria Caddel  (19)
  Michael McKenna  (35)
  Nova Gonzales  (58)
  Scarlett Dawson  (63)
  Serenity Ashley  (87)
  Victoria Mintz  (121)
Student Count 19

102E Algebra 1            Period 3
  Alexander Verlice  (92)
  Autumn Yearwood  (59)
  Axel Adler  (78)
  Carter Wixx  (90)
  Cora Whitlock  (113)
  Jack Raven  (55)
  Joseph Stoll  (39)
  Joshua Wixx  (101)
  Julian Gasper  (110)
  Nora Dagon  (26)
  Quinn Hayes  (122)
  Raelynn Vespertine  (56)
  Sophia Truthbelly  (42)
  Sophie Amos  (62)
  Theodore Lightfoot  (118)
  Walker Lightfoot  (115)
  Waylon Remington  (50)
Student Count 17

102F Algebra 1            Period 6
  Alice Gasper  (46)
  Autumn Stoll  (11)
  Ella Lennon  (69)
  Gabriel Ford  (71)
  Isaac Whitlock  (27)
  Jacob Cassidy  (36)
  Jaxon Hope  (96)
  John Verlice  (106)
  Kennedy Cassidy  (93)
  Leonardo Ashbluff  (111)
  Luna Gasper  (61)
  Theo Hendrix  (94)
  Xavier Dagon  (17)
Student Count 13

102G Algebra 1            Period 1
  Adrian Sharpe  (9)
  Ayla James  (18)
  Brooklyn Adler  (29)
  Charlotte Strongblossom  (20)
  Hannah Laurier  (86)
  Harper Kicklighter  (104)
  Hudson Bardot  (10)
  Josiah Raven  (70)
  Josiah Yarrow  (124)
  Julian Adair  (100)
  Leah Gray  (102)
  Mia Humblecut  (22)
  Micah Madison  (66)
  Miles Barlowe  (76)
  Natalie Collymore  (37)
  Silas Cyprus  (13)
  Theodore Gasper  (68)
  Walker Langley  (33)
  Weston Adler  (80)
  Weston Madden  (84)
Student Count 20

103A Biology 1            Period 4
  Adam Marley  (4)
  Alice Gasper  (46)
  Anthony Adams  (114)
  Ava Fellowes  (65)
  Axel Adler  (78)
  Christopher James  (85)
  Genesis Humblecut  (47)
  Gianna Amos  (1)
  Jack Raven  (55)
  John Verlice  (106)
  Joshua Wixx  (101)
  Josiah Raven  (70)
  Logan Marley  (8)
  Luna Gasper  (61)
  Natalie West  (91)
  Quinn Hayes  (122)
  Sophia Truthbelly  (42)
  Sophie Humblecut  (79)
  Walker Wixx  (15)
  Waylon Remington  (50)
Student Count 20

103B Biology 1            Period 3
  Ayla Ledger  (25)
  David Lennon  (123)
  Eloise Barlowe  (125)
  Everleigh James  (60)
  Hannah Laurier  (86)
  Harper Kicklighter  (104)
  Jaxon Hope  (96)
  Maria Carter  (54)
  Mason Laurier  (82)
  Mia Humblecut  (22)
  Serenity Ashley  (87)
  Victoria Mintz  (121)
  Wyatt Monroe  (31)
Student Count 13

103C Biology 1            Period 5
  Alexander Verlice  (92)
  Asher Marblemaw  (40)
  Autumn Stoll  (11)
  Brooklyn Adler  (29)
  Cameron Elsher  (5)
  Camila West  (120)
  Ella Lennon  (69)
  Ezekiel Fellowes  (48)
  Hudson Bardot  (10)
  Ian Poverly  (75)
  Isaac Whitlock  (27)
  Isaac Woodgrip  (32)
  James Lopez  (34)
  Josiah Yarrow  (124)
  Maria Caddel  (19)
  Micah Madison  (66)
  Silas Cyprus  (13)
  Walker Langley  (33)
  Weston Madden  (84)
  Xavier Dagon  (17)
Student Count 20

103D Biology 1            Period 6
  Aaron Sharpe  (2)
  Autumn Yearwood  (59)
  Benjamin Curran  (12)
  Bennett Lennon  (105)
  David Finch  (16)
  Ivy Beam  (30)
  Joseph Hansley  (51)
  Leah Gray  (102)
  Lincoln Lopez  (53)
  Luna Finch  (23)
  Lydia Undergrove  (95)
  Madelyn Zimmerman  (72)
  Madison Gatlin  (38)
  Michael McKenna  (35)
  Santiago Thatcher  (6)
  Sophie Amos  (62)
  Walker Lightfoot  (115)
Student Count 17

103E Biology 1            Period 2
  Aiden Caskcut  (103)
  Ayla James  (18)
  Benjamin Madden  (77)
  Carter Wixx  (90)
  Charlotte Strongblossom  (20)
  Everett Levine  (83)
  Ezra Wilson  (64)
  Hannah Crawford  (74)
  Jacob Cassidy  (36)
  Josiah Biddercombe  (14)
  Leilani Lennon  (117)
  Miles Barlowe  (76)
  Nolan Finch  (119)
  Raelynn McKenna  (81)
  Theodore Lightfoot  (118)
Student Count 15

103F Biology 1            Period 1
  Adam Huxley  (116)
  Adrian Lennon  (7)
  Andrew West  (98)
  Aubrey Hart  (73)
  Caleb Mintz  (24)
  Christian Wilson  (44)
  Hannah Marley  (45)
  Ivy Ashbluff  (21)
  Jordan Yearwood  (89)
  Joseph Gray  (3)
  Joseph Stoll  (39)
  Julian Gasper  (110)
  Kennedy Cassidy  (93)
  Kinsley Cassidy  (97)
  Lincoln Oatrun  (57)
  Nora Dagon  (26)
  Nova Gonzales  (58)
  Olivia Adler  (99)
  Scarlett Dawson  (63)
  Waylon Driscoll  (52)
Student Count 20

103G Biology 1            Period 7
  Adrian Sharpe  (9)
  Andrew Stoll  (49)
  Cora Whitlock  (113)
  Gabriel Ford  (71)
  Ian Thatcher  (41)
  Jacob Finch  (28)
  Jordan Keller  (107)
  Julian Adair  (100)
  Layla Yearwood  (88)
  Leonardo Ashbluff  (111)
  Miles Moses  (109)
  Natalie Collymore  (37)
  Noah Marley  (67)
  Oliver Gasper  (43)
  Olivia Bardot  (108)
  Raelynn Vespertine  (56)
  Savannah Caskcut  (112)
  Theo Hendrix  (94)
  Theodore Gasper  (68)
  Weston Adler  (80)
Student Count 20

104A US History           Period 2
  Alice Gasper  (46)
  Andrew Stoll  (49)
  Gianna Amos  (1)
  Hannah Laurier  (86)
  Harper Kicklighter  (104)
  Hudson Bardot  (10)
  Ian Poverly  (75)
  Jordan Keller  (107)
  Madison Gatlin  (38)
  Maria Caddel  (19)
  Mia Humblecut  (22)
  Micah Madison  (66)
  Natalie Collymore  (37)
  Olivia Adler  (99)
  Raelynn Vespertine  (56)
  Santiago Thatcher  (6)
  Sophie Amos  (62)
  Waylon Remington  (50)
  Weston Madden  (84)
Student Count 19

104B US History           Period 4
  Adrian Lennon  (7)
  Alexander Verlice  (92)
  Ayla James  (18)
  Benjamin Madden  (77)
  Ella Lennon  (69)
  Everett Levine  (83)
  Ezra Wilson  (64)
  Gabriel Ford  (71)
  Hannah Marley  (45)
  Ian Thatcher  (41)
  Ivy Ashbluff  (21)
  Jacob Cassidy  (36)
  Jordan Yearwood  (89)
  Lincoln Lopez  (53)
  Michael McKenna  (35)
  Nora Dagon  (26)
  Oliver Gasper  (43)
  Theodore Gasper  (68)
  Theodore Lightfoot  (118)
  Walker Langley  (33)
Student Count 20

104C US History           Period 5
  Adam Huxley  (116)
  Adrian Sharpe  (9)
  Aiden Caskcut  (103)
  Andrew West  (98)
  Aubrey Hart  (73)
  Autumn Yearwood  (59)
  Ayla Ledger  (25)
  Everleigh James  (60)
  Genesis Humblecut  (47)
  Jack Raven  (55)
  John Verlice  (106)
  Joshua Wixx  (101)
  Leah Gray  (102)
  Leonardo Ashbluff  (111)
  Luna Finch  (23)
  Lydia Undergrove  (95)
  Natalie West  (91)
  Savannah Caskcut  (112)
  Sophie Humblecut  (79)
  Victoria Mintz  (121)
Student Count 20

104D US History           Period 7
  Carter Wixx  (90)
  Christian Wilson  (44)
  Jaxon Hope  (96)
  Josiah Raven  (70)
  Julian Gasper  (110)
  Wyatt Monroe  (31)
Student Count 6

104E US History           Period 6
  Axel Adler  (78)
  Cameron Elsher  (5)
  Christopher James  (85)
  David Lennon  (123)
  Eloise Barlowe  (125)
  Hannah Crawford  (74)
  Isaac Woodgrip  (32)
  Jacob Finch  (28)
  Joseph Stoll  (39)
  Josiah Yarrow  (124)
  Julian Adair  (100)
  Kinsley Cassidy  (97)
  Layla Yearwood  (88)
  Maria Carter  (54)
  Mason Laurier  (82)
  Miles Barlowe  (76)
  Nova Gonzales  (58)
  Quinn Hayes  (122)
  Scarlett Dawson  (63)
  Weston Adler  (80)
Student Count 20

104F US History           Period 3
  Anthony Adams  (114)
  Benjamin Curran  (12)
  Brooklyn Adler  (29)
  Caleb Mintz  (24)
  Charlotte Strongblossom  (20)
  David Finch  (16)
  Ivy Beam  (30)
  James Lopez  (34)
  Joseph Gray  (3)
  Joseph Hansley  (51)
  Josiah Biddercombe  (14)
  Kennedy Cassidy  (93)
  Lincoln Oatrun  (57)
  Logan Marley  (8)
  Madelyn Zimmerman  (72)
  Noah Marley  (67)
  Silas Cyprus  (13)
  Theo Hendrix  (94)
  Waylon Driscoll  (52)
  Xavier Dagon  (17)
Student Count 20

104G US History           Period 1
  Aaron Sharpe  (2)
  Adam Marley  (4)
  Asher Marblemaw  (40)
  Autumn Stoll  (11)
  Ava Fellowes  (65)
  Bennett Lennon  (105)
  Camila West  (120)
  Cora Whitlock  (113)
  Ezekiel Fellowes  (48)
  Isaac Whitlock  (27)
  Leilani Lennon  (117)
  Luna Gasper  (61)
  Miles Moses  (109)
  Nolan Finch  (119)
  Olivia Bardot  (108)
  Raelynn McKenna  (81)
  Serenity Ashley  (87)
  Sophia Truthbelly  (42)
  Walker Lightfoot  (115)
  Walker Wixx  (15)
Student Count 20

111A French 1             Period 6
  Adrian Sharpe  (9)
  Andrew Stoll  (49)
  Aubrey Hart  (73)
  Ava Fellowes  (65)
  Ayla Ledger  (25)
  Brooklyn Adler  (29)
  Cora Whitlock  (113)
  Gianna Amos  (1)
  Hannah Marley  (45)
  Ian Thatcher  (41)
  Ivy Ashbluff  (21)
  Jordan Yearwood  (89)
  Lincoln Oatrun  (57)
  Miles Moses  (109)
  Natalie Collymore  (37)
  Victoria Mintz  (121)
  Walker Langley  (33)
Student Count 17

111B French 1             Period 7
  Benjamin Madden  (77)
  Bennett Lennon  (105)
  Cameron Elsher  (5)
  Christopher James  (85)
  Ella Lennon  (69)
  Eloise Barlowe  (125)
  Joshua Wixx  (101)
  Kennedy Cassidy  (93)
  Kinsley Cassidy  (97)
  Leilani Lennon  (117)
  Lincoln Lopez  (53)
  Luna Gasper  (61)
  Raelynn McKenna  (81)
  Silas Cyprus  (13)
  Xavier Dagon  (17)
Student Count 15

112A Spanish 1            Period 2
  Adrian Sharpe  (9)
  Ayla Ledger  (25)
  Bennett Lennon  (105)
  Brooklyn Adler  (29)
  Cora Whitlock  (113)
  Ella Lennon  (69)
  Eloise Barlowe  (125)
  Joshua Wixx  (101)
  Kennedy Cassidy  (93)
  Lincoln Oatrun  (57)
  Luna Gasper  (61)
  Miles Moses  (109)
  Silas Cyprus  (13)
  Victoria Mintz  (121)
  Walker Langley  (33)
  Xavier Dagon  (17)
Student Count 16

112B Spanish 1            Period 3
  Andrew Stoll  (49)
  Aubrey Hart  (73)
  Ava Fellowes  (65)
  Benjamin Madden  (77)
  Cameron Elsher  (5)
  Christopher James  (85)
  Gianna Amos  (1)
  Hannah Marley  (45)
  Ian Thatcher  (41)
  Ivy Ashbluff  (21)
  Jordan Yearwood  (89)
  Kinsley Cassidy  (97)
  Leilani Lennon  (117)
  Lincoln Lopez  (53)
  Natalie Collymore  (37)
  Raelynn McKenna  (81)
Student Count 16

113A Latin 1              Period 7
  Aaron Sharpe  (2)
  Alice Gasper  (46)
  Andrew West  (98)
  Anthony Adams  (114)
  Hannah Crawford  (74)
  Hudson Bardot  (10)
  Ivy Beam  (30)
  James Lopez  (34)
  John Verlice  (106)
  Josiah Biddercombe  (14)
  Leah Gray  (102)
  Micah Madison  (66)
  Quinn Hayes  (122)
  Santiago Thatcher  (6)
