
101A English              Period 1
  Andrew West  (98)
  Ava Fellowes  (65)
  Brooklyn Adler  (29)
  Christian Wilson  (44)
  Everleigh James  (60)
  Ezra Wilson  (64)
  Gianna Amos  (1)
  Isaac Whitlock  (27)
  Ivy Beam  (30)
  Julian Gasper  (110)
  Leah Gray  (102)
  Lincoln Oatrun  (57)
  Madison Gatlin  (38)
  Maria Caddel  (19)
  Micah Madison  (66)
  Nora Dagon  (26)
  Olivia Bardot  (108)
  Sophie Amos  (62)
  Theodore Gasper  (68)
  Xavier Dagon  (17)
Student Count 20

101B English              Period 2
  Adrian Lennon  (7)
  Aubrey Hart  (73)
  Axel Adler  (78)
  Benjamin Curran  (12)
  Bennett Lennon  (105)
  Caleb Mintz  (24)
  Charlotte Strongblossom  (20)
  Hudson Bardot  (10)
  Jacob Finch  (28)
  Jaxon Hope  (96)
  Joseph Stoll  (39)
  Lydia Undergrove  (95)
  Mia Humblecut  (22)
  Michael McKenna  (35)
  Miles Barlowe  (76)
  Natalie West  (91)
  Nova Gonzales  (58)
  Raelynn McKenna  (81)
  Sophia Truthbelly  (42)
  Waylon Driscoll  (52)
Student Count 20

101C English              Period 6
  Aaron Sharpe  (2)
  Alexander Verlice  (92)
  Carter Wixx  (90)
  Everett Levine  (83)
  Hannah Crawford  (74)
  Ian Poverly  (75)
  Jacob Cassidy  (36)
  Jordan Keller  (107)
  Joseph Hansley  (51)
  Josiah Biddercombe  (14)
  Layla Yearwood  (88)
  Logan Marley  (8)
  Natalie Collymore  (37)
  Quinn Hayes  (122)
  Walker Lightfoot  (115)
  Weston Madden  (84)
  Wyatt Monroe  (31)
Student Count 17

101D English              Period 5
  Adam Marley  (4)
  Adrian Sharpe  (9)
  Aiden Caskcut  (103)
  Ayla James  (18)
  Ayla Ledger  (25)
  Benjamin Madden  (77)
  Cameron Elsher  (5)
  Ezekiel Fellowes  (48)
  Harper Kicklighter  (104)
  Ian Thatcher  (41)
  Isaac Woodgrip  (32)
  James Lopez  (34)
  Kinsley Cassidy  (97)
  Luna Gasper  (61)
  Maria Carter  (54)
  Olivia Adler  (99)
  Savannah Caskcut  (112)
  Scarlett Dawson  (63)
  Silas Cyprus  (13)
  Waylon Remington  (50)
Student Count 20

101E English              Period 4
  Adam Huxley  (116)
  Alice Gasper  (46)
  Autumn Stoll  (11)
  Camila West  (120)
  Christopher James  (85)
  David Lennon  (123)
  Gabriel Ford  (71)
  Hannah Laurier  (86)
  Leonardo Ashbluff  (111)
  Madelyn Zimmerman  (72)
  Miles Moses  (109)
  Nolan Finch  (119)
  Raelynn Vespertine  (56)
  Santiago Thatcher  (6)
  Serenity Ashley  (87)
  Theodore Lightfoot  (118)
Student Count 16

101F English              Period 3
  Anthony Adams  (114)
  Asher Marblemaw  (40)
  Autumn Yearwood  (59)
  Cora Whitlock  (113)
  Genesis Humblecut  (47)
  Hannah Marley  (45)
  Ivy Ashbluff  (21)
  Jordan Yearwood  (89)
  Joshua Wixx  (101)
  Josiah Raven  (70)
  Josiah Yarrow  (124)
  Julian Adair  (100)
  Kennedy Cassidy  (93)
  Lincoln Lopez  (53)
  Luna Finch  (23)
  Mason Laurier  (82)
  Oliver Gasper  (43)
  Theo Hendrix  (94)
  Walker Wixx  (15)
  Weston Adler  (80)
Student Count 20

101G English              Period 7
  Andrew Stoll  (49)
  David Finch  (16)
  Ella Lennon  (69)
  Jack Raven  (55)
  John Verlice  (106)
  Joseph Gray  (3)
  Leilani Lennon  (117)
  Noah Marley  (67)
  Sophie Humblecut  (79)
  Victoria Mintz  (121)
  Walker Langley  (33)
Student Count 11

101Z English              Period 0
  Eloise Barlowe  (125)
Student Count 1

102A Algebra 1            Period 1
  Alexander Verlice  (92)
  Asher Marblemaw  (40)
  Autumn Stoll  (11)
  Autumn Yearwood  (59)
  Cameron Elsher  (5)
  Hannah Marley  (45)
  Ivy Ashbluff  (21)
  Joshua Wixx  (101)
  Josiah Biddercombe  (14)
  Josiah Yarrow  (124)
  Kennedy Cassidy  (93)
  Luna Gasper  (61)
  Maria Carter  (54)
  Mason Laurier  (82)
  Natalie Collymore  (37)
  Noah Marley  (67)
  Nova Gonzales  (58)
  Savannah Caskcut  (112)
  Serenity Ashley  (87)
  Theo Hendrix  (94)
Student Count 20

102B Algebra 1            Period 3
  Adam Marley  (4)
  Aubrey Hart  (73)
  Ava Fellowes  (65)
  Bennett Lennon  (105)
  Caleb Mintz  (24)
  Camila West  (120)
  Christopher James  (85)
  David Finch  (16)
  David Lennon  (123)
  Ezekiel Fellowes  (48)
  Gianna Amos  (1)
  Harper Kicklighter  (104)
  Ian Thatcher  (41)
  Kinsley Cassidy  (97)
  Miles Moses  (109)
  Raelynn McKenna  (81)
  Victoria Mintz  (121)
  Walker Lightfoot  (115)
Student Count 18

102C Algebra 1            Period 5
  Adrian Lennon  (7)
  Anthony Adams  (114)
  Axel Adler  (78)
  Brooklyn Adler  (29)
  Charlotte Strongblossom  (20)
  Ezra Wilson  (64)
  Gabriel Ford  (71)
  Hannah Laurier  (86)
  Hudson Bardot  (10)
  Joseph Gray  (3)
  Josiah Raven  (70)
  Julian Gasper  (110)
  Luna Finch  (23)
  Nora Dagon  (26)
  Raelynn Vespertine  (56)
  Sophie Amos  (62)
  Sophie Humblecut  (79)
  Walker Langley  (33)
  Waylon Driscoll  (52)
  Weston Madden  (84)
Student Count 20

102D Algebra 1            Period 2
  Aaron Sharpe  (2)
  Adam Huxley  (116)
  Adrian Sharpe  (9)
  Aiden Caskcut  (103)
  Ayla James  (18)
  Everett Levine  (83)
  Ian Poverly  (75)
  James Lopez  (34)
  John Verlice  (106)
  Joseph Hansley  (51)
  Lincoln Lopez  (53)
  Lincoln Oatrun  (57)
  Logan Marley  (8)
  Madelyn Zimmerman  (72)
  Madison Gatlin  (38)
  Quinn Hayes  (122)
  Silas Cyprus  (13)
  Theodore Lightfoot  (118)
  Waylon Remington  (50)
  Weston Adler  (80)
Student Count 20

102E Algebra 1            Period 6
  Andrew Stoll  (49)
  Cora Whitlock  (113)
  Everleigh James  (60)
  Jack Raven  (55)
  Julian Adair  (100)
  Leilani Lennon  (117)
  Leonardo Ashbluff  (111)
  Lydia Undergrove  (95)
  Mia Humblecut  (22)
  Micah Madison  (66)
  Nolan Finch  (119)
  Olivia Adler  (99)
  Santiago Thatcher  (6)
  Theodore Gasper  (68)
  Xavier Dagon  (17)
Student Count 15

102F Algebra 1            Period 7
  Alice Gasper  (46)
  Ayla Ledger  (25)
  Carter Wixx  (90)
  Genesis Humblecut  (47)
  Jacob Cassidy  (36)
  Jacob Finch  (28)
  Jordan Keller  (107)
  Maria Caddel  (19)
  Oliver Gasper  (43)
  Scarlett Dawson  (63)
  Walker Wixx  (15)
Student Count 11

102G Algebra 1            Period 4
  Andrew West  (98)
  Benjamin Curran  (12)
  Benjamin Madden  (77)
  Christian Wilson  (44)
  Ella Lennon  (69)
  Hannah Crawford  (74)
  Isaac Whitlock  (27)
  Isaac Woodgrip  (32)
  Ivy Beam  (30)
  Jaxon Hope  (96)
  Jordan Yearwood  (89)
  Joseph Stoll  (39)
  Layla Yearwood  (88)
  Leah Gray  (102)
  Michael McKenna  (35)
  Miles Barlowe  (76)
  Natalie West  (91)
  Olivia Bardot  (108)
  Sophia Truthbelly  (42)
  Wyatt Monroe  (31)
Student Count 20

102Z Algebra 1            Period 0
  Eloise Barlowe  (125)
Student Count 1

103A Biology 1            Period 5
  Aaron Sharpe  (2)
  Andrew West  (98)
  Asher Marblemaw  (40)
  Aubrey Hart  (73)
  Ava Fellowes  (65)
  Cora Whitlock  (113)
  Ian Poverly  (75)
  Jack Raven  (55)
  Jordan Keller  (107)
  Jordan Yearwood  (89)
  Julian Adair  (100)
  Lincoln Oatrun  (57)
  Micah Madison  (66)
  Miles Barlowe  (76)
  Miles Moses  (109)
  Raelynn McKenna  (81)
  Serenity Ashley  (87)
  Sophia Truthbelly  (42)
  Victoria Mintz  (121)
  Weston Adler  (80)
Student Count 20

103B Biology 1            Period 2
  Brooklyn Adler  (29)
  Christopher James  (85)
  David Finch  (16)
  Everleigh James  (60)
  Genesis Humblecut  (47)
  Hannah Marley  (45)
  Isaac Woodgrip  (32)
  Ivy Ashbluff  (21)
  Josiah Raven  (70)
  Leonardo Ashbluff  (111)
  Natalie Collymore  (37)
  Noah Marley  (67)
  Olivia Bardot  (108)
  Santiago Thatcher  (6)
  Savannah Caskcut  (112)
  Theo Hendrix  (94)
  Walker Lightfoot  (115)
Student Count 17

103C Biology 1            Period 6
  Autumn Stoll  (11)
  Ayla James  (18)
  Benjamin Curran  (12)
  Bennett Lennon  (105)
  Cameron Elsher  (5)
  Camila West  (120)
  Christian Wilson  (44)
  Ian Thatcher  (41)
  Isaac Whitlock  (27)
  Jacob Finch  (28)
  Jaxon Hope  (96)
  Joseph Gray  (3)
  Josiah Yarrow  (124)
  Lincoln Lopez  (53)
  Mason Laurier  (82)
  Michael McKenna  (35)
  Scarlett Dawson  (63)
  Sophie Amos  (62)
  Waylon Remington  (50)
Student Count 19

103D Biology 1            Period 4
  Alexander Verlice  (92)
  Caleb Mintz  (24)
  Carter Wixx  (90)
  Everett Levine  (83)
  John Verlice  (106)
  Kennedy Cassidy  (93)
  Luna Finch  (23)
  Lydia Undergrove  (95)
  Madison Gatlin  (38)
  Maria Carter  (54)
  Mia Humblecut  (22)
  Nora Dagon  (26)
  Oliver Gasper  (43)
  Olivia Adler  (99)
  Walker Wixx  (15)
Student Count 15

103E Biology 1            Period 7
  Adam Marley  (4)
  Aiden Caskcut  (103)
  Autumn Yearwood  (59)
  Axel Adler  (78)
  David Lennon  (123)
  Ezekiel Fellowes  (48)
  Ezra Wilson  (64)
  Gabriel Ford  (71)
  Gianna Amos  (1)
  Harper Kicklighter  (104)
  Ivy Beam  (30)
  Joshua Wixx  (101)
  Layla Yearwood  (88)
  Leah Gray  (102)
  Luna Gasper  (61)
  Nolan Finch  (119)
  Quinn Hayes  (122)
  Weston Madden  (84)
Student Count 18

103F Biology 1            Period 3
  Adrian Sharpe  (9)
  Andrew Stoll  (49)
  Benjamin Madden  (77)
  Hudson Bardot  (10)
  Josiah Biddercombe  (14)
  Julian Gasper  (110)
  Madelyn Zimmerman  (72)
  Maria Caddel  (19)
  Natalie West  (91)
  Nova Gonzales  (58)
  Raelynn Vespertine  (56)
  Silas Cyprus  (13)
  Theodore Gasper  (68)
  Wyatt Monroe  (31)
  Xavier Dagon  (17)
Student Count 15

103G Biology 1            Period 1
  Adam Huxley  (116)
  Adrian Lennon  (7)
  Alice Gasper  (46)
  Anthony Adams  (114)
  Ayla Ledger  (25)
  Charlotte Strongblossom  (20)
  Ella Lennon  (69)
  Hannah Crawford  (74)
  Hannah Laurier  (86)
  Jacob Cassidy  (36)
  James Lopez  (34)
  Joseph Hansley  (51)
  Joseph Stoll  (39)
  Kinsley Cassidy  (97)
  Leilani Lennon  (117)
  Logan Marley  (8)
  Sophie Humblecut  (79)
  Theodore Lightfoot  (118)
  Walker Langley  (33)
  Waylon Driscoll  (52)
Student Count 20

103Z Biology 1            Period 0
  Eloise Barlowe  (125)
Student Count 1

104A US History           Period 2
  David Lennon  (123)
  Hannah Crawford  (74)
  Hannah Laurier  (86)
  Jordan Yearwood  (89)
  Josiah Yarrow  (124)
  Kinsley Cassidy  (97)
  Leah Gray  (102)
  Maria Carter  (54)
  Raelynn Vespertine  (56)
  Scarlett Dawson  (63)
  Sophie Amos  (62)
  Theodore Gasper  (68)
  Xavier Dagon  (17)
Student Count 13

104B US History           Period 6
  Alice Gasper  (46)
  Anthony Adams  (114)
  Autumn Yearwood  (59)
  Ava Fellowes  (65)
  Brooklyn Adler  (29)
  Hannah Marley  (45)
  Hudson Bardot  (10)
  Ivy Beam  (30)
  James Lopez  (34)
  John Verlice  (106)
  Josiah Raven  (70)
  Julian Gasper  (110)
  Lincoln Oatrun  (57)
  Luna Finch  (23)
  Luna Gasper  (61)
  Madelyn Zimmerman  (72)
  Madison Gatlin  (38)
  Nora Dagon  (26)
  Sophia Truthbelly  (42)
  Theodore Lightfoot  (118)
Student Count 20

104C US History           Period 1
  Aaron Sharpe  (2)
  Adrian Sharpe  (9)
  Aiden Caskcut  (103)
  Andrew Stoll  (49)
  Aubrey Hart  (73)
  Axel Adler  (78)
  Bennett Lennon  (105)
  Caleb Mintz  (24)
  Christopher James  (85)
  Gabriel Ford  (71)
  Ian Thatcher  (41)
  Jacob Finch  (28)
  Julian Adair  (100)
  Michael McKenna  (35)
  Miles Moses  (109)
  Natalie West  (91)
  Raelynn McKenna  (81)
  Santiago Thatcher  (6)
  Walker Wixx  (15)
  Waylon Remington  (50)
Student Count 20

104D US History           Period 4
  Adam Marley  (4)
  Asher Marblemaw  (40)
  Ayla Ledger  (25)
  Ezekiel Fellowes  (48)
  Gianna Amos  (1)
  Harper Kicklighter  (104)
  Ian Poverly  (75)
  Jacob Cassidy  (36)
  Joseph Gray  (3)
  Joshua Wixx  (101)
  Josiah Biddercombe  (14)
  Micah Madison  (66)
  Silas Cyprus  (13)
  Victoria Mintz  (121)
  Walker Lightfoot  (115)
  Waylon Driscoll  (52)
  Weston Adler  (80)
Student Count 17

104E US History           Period 5
  Adam Huxley  (116)
  Alexander Verlice  (92)
  Benjamin Curran  (12)
  Carter Wixx  (90)
  David Finch  (16)
  Everleigh James  (60)
  Genesis Humblecut  (47)
  Ivy Ashbluff  (21)
  Jaxon Hope  (96)
  Joseph Hansley  (51)
  Lincoln Lopez  (53)
  Logan Marley  (8)
  Maria Caddel  (19)
  Mason Laurier  (82)
  Mia Humblecut  (22)
  Nova Gonzales  (58)
  Oliver Gasper  (43)
  Quinn Hayes  (122)
  Theo Hendrix  (94)
  Wyatt Monroe  (31)
Student Count 20

104F US History           Period 3
  Adrian Lennon  (7)
  Autumn Stoll  (11)
  Ayla James  (18)
  Cameron Elsher  (5)
  Ella Lennon  (69)
  Ezra Wilson  (64)
  Isaac Whitlock  (27)
  Jack Raven  (55)
  Jordan Keller  (107)
  Layla Yearwood  (88)
  Leilani Lennon  (117)
  Leonardo Ashbluff  (111)
  Lydia Undergrove  (95)
  Natalie Collymore  (37)
  Noah Marley  (67)
  Nolan Finch  (119)
  Savannah Caskcut  (112)
  Sophie Humblecut  (79)
  Walker Langley  (33)
  Weston Madden  (84)
Student Count 20

104G US History           Period 7
  Andrew West  (98)
  Benjamin Madden  (77)
  Camila West  (120)
  Charlotte Strongblossom  (20)
  Christian Wilson  (44)
  Cora Whitlock  (113)
  Everett Levine  (83)
  Isaac Woodgrip  (32)
  Joseph Stoll  (39)
  Kennedy Cassidy  (93)
  Miles Barlowe  (76)
  Olivia Adler  (99)
  Olivia Bardot  (108)
  Serenity Ashley  (87)
Student Count 14

104Z US History           Period 0
  Eloise Barlowe  (125)
Student Count 1

